number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,state
0,0.516021192073822,2025-09-09 00:48:46.538647,2025-09-09 01:20:37.635989,0 days 00:31:51.097342,0.2430378732744839,12,COMPLETE
1,0.5084981918334961,2025-09-09 01:20:37.636644,2025-09-09 01:56:34.565975,0 days 00:35:56.929331,0.20897663659937937,14,COMPLETE
2,0.5117024183273315,2025-09-09 01:56:34.566422,2025-09-09 02:26:49.693113,0 days 00:30:15.126691,0.22917882261333122,10,COMPLETE
3,0.49832823872566223,2025-09-09 02:26:49.693748,2025-09-09 02:56:49.891463,0 days 00:30:00.197715,0.27835460015641594,10,COMPLETE
4,0.5319030284881592,2025-09-09 02:56:49.891914,2025-09-09 03:46:00.556767,0 days 00:49:10.664853,0.17668830376515554,20,COMPLETE
5,0.5206185579299927,2025-09-09 03:46:00.557254,2025-09-09 04:30:20.579698,0 days 00:44:20.022444,0.2057789839505809,18,COMPLETE
6,0.5048760175704956,2025-09-09 04:30:20.580268,2025-09-09 05:06:03.651603,0 days 00:35:43.071335,0.2851193276585322,14,COMPLETE
7,0.43702980875968933,2025-09-09 05:06:03.652167,2025-09-09 05:34:09.714767,0 days 00:28:06.062600,0.11742585994030814,4,COMPLETE
8,0.43131792545318604,2025-09-09 05:34:09.715301,2025-09-09 06:01:44.008887,0 days 00:27:34.293586,0.2665239691095876,4,COMPLETE
9,0.5257731676101685,2025-09-09 06:01:44.009545,2025-09-09 06:46:51.078058,0 days 00:45:07.068513,0.27400242964936383,18,COMPLETE
10,0.5271663665771484,2025-09-09 06:46:51.078781,2025-09-09 07:35:40.692972,0 days 00:48:49.614191,0.2598317128433447,20,COMPLETE
11,0.5239620804786682,2025-09-09 07:35:40.693982,2025-09-09 08:08:05.172653,0 days 00:32:24.478671,0.2561058352572911,12,COMPLETE
12,0.473251610994339,2025-09-09 08:08:05.173151,2025-09-09 08:38:49.546891,0 days 00:30:44.373740,0.22798420426550475,6,COMPLETE
13,0.4752019941806793,2025-09-09 08:38:49.547598,2025-09-09 09:12:30.449345,0 days 00:33:40.901747,0.28893378340991677,6,COMPLETE
14,0.5284201502799988,2025-09-09 09:12:30.450603,2025-09-09 09:45:38.109509,0 days 00:33:07.658906,0.1829323879981047,12,COMPLETE
15,0.4878796339035034,2025-09-09 09:45:38.110017,2025-09-09 10:14:57.858086,0 days 00:29:19.748069,0.2548467378868433,8,COMPLETE
16,0.5185288190841675,2025-09-09 10:14:57.858581,2025-09-09 10:47:24.865772,0 days 00:32:27.007191,0.21368678977372968,12,COMPLETE
17,0.40387293696403503,2025-09-09 10:47:24.866238,2025-09-09 11:15:00.617575,0 days 00:27:35.751337,0.2235270994151754,4,COMPLETE
18,0.5176929235458374,2025-09-09 11:15:00.618038,2025-09-09 11:57:25.004184,0 days 00:42:24.386146,0.22338679937495137,14,COMPLETE
19,0.5242407321929932,2025-09-09 11:57:25.004662,2025-09-09 13:09:58.845608,0 days 01:12:33.840946,0.23636405982069666,20,COMPLETE
